artist,title,ultimate_guitar_url
Brad Paisley,This Is Country Music,https://tabs.ultimate-guitar.com/tab/brad-paisley/this-is-country-music-chords-1011353
Brad Paisley,Ticks,https://tabs.ultimate-guitar.com/tab/brad-paisley/ticks-chords-511546
Brad Paisley,Water,https://tabs.ultimate-guitar.com/tab/brad-paisley/water-chords-854157
Brad Paisley,Whiskey Lullaby,https://tabs.ultimate-guitar.com/tab/brad-paisley/whiskey-lullaby-chords-395700
Brandi Carlile,Hearts Content,https://tabs.ultimate-guitar.com/tab/brandi-carlile/hearts-content-chords-2937389
Brantley Gilbert,Bottoms Up,https://tabs.ultimate-guitar.com/tab/brantley-gilbert/bottoms-up-chords-1449978
Brent Morgan,Kiss The Girl,https://tabs.ultimate-guitar.com/tab/brent-morgan/kiss-the-girl-chords-3864071
Britney Spears,Lucky,https://tabs.ultimate-guitar.com/tab/britney-spears/lucky-chords-346800
Britney Spears,Toxic,https://tabs.ultimate-guitar.com/tab/britney-spears/toxic-chords-618385
Brooks & Dunn,Boot Scootin Boogie,https://tabs.ultimate-guitar.com/tab/brooks-dunn/boot-scootin-boogie-chords-1853911
Bruno Major,Nothing,https://tabs.ultimate-guitar.com/tab/bruno-major/nothing-chords-2936795
Bryan Adams,Everything I Do I Do It For You,https://tabs.ultimate-guitar.com/tab/bryan-adams/everything-i-do-i-do-it-for-you-chords-18587
Bryan Adams,Summer Of 69,https://tabs.ultimate-guitar.com/tab/bryan-adams/summer-of-69-chords-843137
Buffalo Springfield,For What Its Worth,https://tabs.ultimate-guitar.com/tab/buffalo-springfield/for-what-its-worth-official-1956147
Burl Ives,Down In The Valley,https://tabs.ultimate-guitar.com/tab/burl-ives/down-in-the-valley-chords-3718322
BØRNS,Electric Love,https://tabs.ultimate-guitar.com/tab/1708890
Carly Rae Jepsen,Call Me Maybe,https://tabs.ultimate-guitar.com/tab/carly-rae-jepsen/call-me-maybe-chords-1120096
Carole King,Youve Got A Friend,https://tabs.ultimate-guitar.com/tab/carole-king/youve-got-a-friend-chords-463673
Carrie Underwood,Before He Cheats,https://tabs.ultimate-guitar.com/tab/carrie-underwood/before-he-cheats-chords-438359
Cascada,Everytime We Touch,https://tabs.ultimate-guitar.com/user/tab/view?h=1tCR64RgWfsPx4T1C0CXrRl9&tab_id=23831214
Cat Stevens (Yusuf Islam),If You Want To Sing Out Sing Out,https://tabs.ultimate-guitar.com/tab/cat-stevens-yusuf-islam/if-you-want-to-sing-out-sing-out-chords-84503
Cat Stevens (Yusuf Islam),Trouble,https://tabs.ultimate-guitar.com/tab/cat-stevens-yusuf-islam/trouble-chords-719182
CeeLo Green,Forget You,https://tabs.ultimate-guitar.com/tab/ceelo-green/forget-you-chords-1031317
Celine Dion,Im Alive,https://tabs.ultimate-guitar.com/tab/celine-dion/im-alive-chords-1977783
Celine Dion,Thats The Way It Is,https://tabs.ultimate-guitar.com/tab/celine-dion/thats-the-way-it-is-chords-1397263
Chappell Roan,Casual,https://tabs.ultimate-guitar.com/tab/chappell-roan/casual-official-5108674
Chappell Roan,Good Luck Babe,https://tabs.ultimate-guitar.com/tab/chappell-roan/good-luck-babe-chords-5191149
Chappell Roan,Hot To Go,https://tabs.ultimate-guitar.com/tab/chappell-roan/hot-to-go-chords-4912102
Chappell Roan,Pink Pony Club,https://tabs.ultimate-guitar.com/tab/chappell-roan/pink-pony-club-chords-3066623
Chappell Roan,Red Wine Supernova,https://tabs.ultimate-guitar.com/tab/chappell-roan/red-wine-supernova-chords-4781672
Chris Stapleton,Tennessee Whiskey,https://tabs.ultimate-guitar.com/tab/chris-stapleton/tennessee-whiskey-chords-1741042
Christina Aguilera,Lady Marmalade,https://tabs.ultimate-guitar.com/tab/christina-aguilera/lady-marmalade-chords-626203
Christina Perri,Jar Of Hearts,https://tabs.ultimate-guitar.com/tab/christina-perri/jar-of-hearts-chords-963934
Cody Johnson,Diamond In My Pocket,https://tabs.ultimate-guitar.com/tab/cody-johnson/diamond-in-my-pocket-chords-1134493
Coldplay,Fix You,https://tabs.ultimate-guitar.com/tab/coldplay/fix-you-chords-202594
Coldplay,Green Eyes,https://tabs.ultimate-guitar.com/tab/coldplay/green-eyes-chords-49158
Coldplay,The Scientist,https://tabs.ultimate-guitar.com/tab/coldplay/the-scientist-chords-180849
Coldplay,Yellow,https://tabs.ultimate-guitar.com/tab/coldplay/yellow-chords-114080
Colin Hay,I Just Dont Think Ill Ever Get Over You,https://tabs.ultimate-guitar.com/tab/colin-hay/i-just-dont-think-ill-ever-get-over-you-chords-325528
Corinne Bailey Rae,Put Your Records On,https://tabs.ultimate-guitar.com/tab/corinne-bailey-rae/put-your-records-on-chords-1079862
Couch,Let Me Hold You,https://tabs.ultimate-guitar.com/tab/couch/let-me-hold-you-chords-5023342
Couch,Poems,https://tabs.ultimate-guitar.com/tab/couch/poems-chords-4848101
Counting Crows,A Long December,https://tabs.ultimate-guitar.com/tab/counting-crows/a-long-december-chords-606345
Counting Crows,Accidentally In Love,https://tabs.ultimate-guitar.com/tab/counting-crows/accidentally-in-love-chords-128241
Creedence Clearwater Revival,Bad Moon Rising,https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/bad-moon-rising-chords-15892
Creedence Clearwater Revival,Down On The Corner,https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/down-on-the-corner-chords-64057
Creedence Clearwater Revival,Fortunate Son,https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/fortunate-son-chords-1045064
Creedence Clearwater Revival,Have You Ever Seen The Rain,https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/have-you-ever-seen-the-rain-chords-56479
"Crosby, Stills, Nash & Young",Our House,https://tabs.ultimate-guitar.com/tab/crosby-stills-nash-young/our-house-chords-1051275
Crowded House,Dont Dream Its Over,https://tabs.ultimate-guitar.com/tab/crowded-house/dont-dream-its-over-chords-92855
Cyndi Lauper,Girls Just Want To Have Fun,https://tabs.ultimate-guitar.com/tab/cyndi-lauper/girls-just-want-to-have-fun-chords-911453
Cyndi Lauper,Time After Time,https://tabs.ultimate-guitar.com/tab/cyndi-lauper/time-after-time-chords-212085
Daft Punk,Around The World,https://tabs.ultimate-guitar.com/tab/daft-punk/around-the-world-official-2511060
Daft Punk,Get Lucky,https://tabs.ultimate-guitar.com/tab/daft-punk/get-lucky-chords-1239950
Daft Punk,One More Time,https://tabs.ultimate-guitar.com/tab/daft-punk/one-more-time-official-3581246
Damien Rice,9 Crimes,https://tabs.ultimate-guitar.com/tab/damien-rice/9-crimes-chords-433014
